,titulo,descricao,paginas,idioma,editora,autor,genero,img_link,isbn_13,isbn_10
0,"Cabeça Fria, Coração Quente: Uma viagem pelos bastidores da equipa técnica: segredos, reflexões e métodos de trabalho revelados em primeira pessoa","Escrito em primeira pessoa pela equipa técnica liderada pelo treinador Abel Ferreira, o livro “Cabeça fria, coração quente” faz uma viagem pelos bastidores das conquistas do Palmeiras nas temporadas de 2020 e 2021, culminando no bicampeonato da Copa Libertadores da América.
A obra traz as experiências e os desafios enfrentados pelos profissionais portugueses ao longo de seus 13 primeiros meses no futebol brasileiro, com revelações inéditas sobre o pensamento, a filosofia e os métodos de trabalho da comissão – incluindo detalhes inéditos da preparação de 16 jogos-chave, com exercícios e as respectivas análises pré e pós-jogo.",408 páginas,Português,Garoa Livros,Abel Ferreira,Biografia,"https://m.media-amazon.com/images/I/413zVMkCRVL._SX346_BO1,204,203,200_.jpg",978-6599096389,6599096387
1,Quem tem medo do feminismo negro?,"""Um livro essencial e urgente, pois enquanto mulheres negras seguirem sendo alvo de constantes ataques, a humanidade toda corre perigo.
Quem tem medo do feminismo negro? reúne um longo ensaio autobiográfico inédito e uma seleção de artigos publicados por Djamila Ribeiro no blog da revista Carta Capital , entre 2014 e 2017. No texto de abertura, a filósofa e militante recupera memórias de seus anos de infância e adolescência para discutir o que chama de “silenciamento”, processo de apagamento da personalidade por que passou e que é um dos muitos resultados perniciosos da discriminação. Foi apenas no final da adolescência, ao trabalhar na Casa de Cultura da Mulher Negra, que Djamila entrou em contato com autoras que a fizeram ter orgulho de suas raízes e não mais querer se manter invisível. Desde então, o diálogo com autoras como Chimamanda Ngozi Adichie, bell hooks, Sueli Carneiro, Alice Walker, Toni Morrison e Conceição Evaristo é uma constante.",120 páginas,Português,Companhia das Letras,Djamila Ribeiro,Biografia,"https://m.media-amazon.com/images/I/41lj0rgZ5WL._SX331_BO1,204,203,200_.jpg",978-8535931136,8535931139
2,O rei dos dividendos: A saga do filho de imigrantes pobres que se tornou o maior investidor pessoa física da bolsa de valores brasileira,"""O livro que você tem em mãos é uma inspiração para a riqueza, mas não só: ao compartilhar momentos de humor e astúcia, dor e alegria, Barsi vai se mostrando, pouco a pouco, como realmente é, em toda a sua humanidade.
E é isso o que faz desta obra também uma inspiração para nos tornamos, mais do que investidores competentes, pessoas melhores."" – Fabio Baroni, Felipe Ruiz e Louise Barsi, sócios fundadores do AGF",256 páginas,Português,Editora Sextante,Luiz Barsi Filho,Biografia,"https://m.media-amazon.com/images/I/51nBC1gqw5L._SX345_BO1,204,203,200_.jpg",978-6555644746,6555644745
3,Minha História,"Um relato íntimo, poderoso e inspirador da ex-primeira-dama dos Estados Unidos.
Com uma vida repleta de realizações significativas, Michelle Obama se consolidou como uma das mulheres mais icônicas e cativantes de nosso tempo. Como primeira-dama dos Estados Unidos — a primeira afro-americana a ocupar essa posição —, ela ajudou a criar a mais acolhedora e inclusiva Casa Branca da história. Ao mesmo tempo, se posicionou como uma poderosa porta-voz das mulheres e meninas nos Estados Unidos e ao redor do mundo, mudando drasticamente a forma como as famílias levam suas vidas em busca de um modelo mais saudável e ativo, e se posicionando ao lado de seu marido durante os anos em que Obama presidiu os Estados Unidos em alguns dos momentos mais angustiantes da história do país. Ao longo do caminho, ela nos ensinou alguns passos de dança, arrasou no Carpool Karaoke e criou duas filhas responsáveis e centradas, apesar do impiedoso olhar da mídia.",464 páginas,Português,Objetiva,Michelle Obama,Biografia,"https://m.media-amazon.com/images/I/41L-v8+K62L._SX346_BO1,204,203,200_.jpg",978-8547000646,854700064X
4,A menina da montanha: A trajetória real da americana que pisou numa sala de aula pela primeira vez aos 17 anos até a conquista do doutorado em Cambridge,"Eleito o livro do ano (2018) pela Amazon. Escolhido como um dos livros do ano pelo Bill Gates e indicado pelo ex-presidente americano Barack Obama, além de figurar entre a lista dos mais vendidos do NYT Tara Westover tinha 17 anos quando pisou pela primeira vez em uma sala de aula. Nascida nas montanhas de Idaho, Estados Unidos, era a caçula de sete irmãos. Guiados pelo fanatismo do pai, todos estavam sempre se preparando para o fim do mundo, estocando conservas e dormindo com uma mala pronta para o caso de fuga. No verão, ajudava a mãe, parteira e curandeira, a fazer remédios medicinais. No inverno, coletava sucata com o pai. Além do sistema de ensino, seu pai também desconfiava dos hospitais, por isso Tara jamais viu um médico durante a infância. Cortes, machucados e até mesmo graves queimaduras eram todos tratados em casa. A família estava tão isolada da sociedade que não havia ninguém para garantir que as crianças recebessem educação, nem para intervir nos casos de violência. No entanto, quando um de seus irmãos conseguiu entrar para a faculdade e retornou com notícias do mundo além da montanha, Tara resolveu tentar um novo tipo de vida. Aprendeu matemática, gramática e ciências para prestar o vestibular, e foi admitida na Universidade Brigham Young. Sua busca pelo conhecimento a transformou, fazendo-a atravessar oceanos e continentes, até chegar às universidades de Harvard e Cambridge, na Inglaterra. Foi quando se deu conta de quão longe tinha viajado, e se perguntou se ainda existiria um caminho de volta para casa. A menina da montanha é um relato autobiográfico sobre a busca de uma nova identidade. É um conto sobre lealdade familiar e sobre o luto de romper estes laços. Com a intensa sensibilidade que distingue os grandes escritores, Tara Westover nos oferece uma história universal que resume o sentido da palavra educação: a perspectiva de ver a vida com novos olhos, e a vontade de mudar.",336 páginas,Português,Rocco,Tara Westover,Biografia,"https://m.media-amazon.com/images/I/51xU-8rLw2L._SX347_BO1,204,203,200_.jpg",978-8532531223,9788532531223
5,O que sobra,"Esta foi uma das imagens mais tocantes do século XX: dois jovens, dois príncipes, caminhando atrás do caixão da mãe, enquanto o mundo acompanhava os eventos com tristeza ― e horror. Conforme Diana, a Princesa de Gales, era sepultada, bilhões de pessoas se perguntavam como se sentiam, e o que pensavam, os príncipes ― e como a vida deles iria se desenrolar a partir daquele momento.
Para Harry, esta é enfim a sua história.
Com uma honestidade total e incontornável, O que sobra é um marco editorial, cheio de inspiração, revelações, introspecção e sabedoria, conquistada com muito esforço, no que diz respeito ao eterno poder do amor sobre a perda.",512 páginas,Português,Objetiva,Príncipe Harry,Biografia,"https://m.media-amazon.com/images/I/41zKkEcuCvL._SX346_BO1,204,203,200_.jpg",978-8539007479,8539007479
6,Em busca de mim,"A internacionalmente aclamada atriz Viola Davis narra em sua biografia, Em busca de mim, tudo o que viveu desde a infância difícil até o estrelato. Nesta biografia você vai conhecer uma garotinha chamada Viola, que fugia de seu passado até tomar a transformadora decisão de parar de fugir para sempre.
 Em busca de mim conta a minha história, de um apartamento caindo aos pedaços na cidade de Central Falls, em Rhode Island, para os palcos de Nova York e além. Este é o caminho que percorri em busca de propósito e força, mas também para me fazer ser ouvida em um mundo que não me percebia.",266 páginas,Português,BestSeller,Viola Davis,Biografia,"https://m.media-amazon.com/images/I/51UgR5xhuvL._SX343_BO1,204,203,200_.jpg",978-6557121382,6557121383
7,Tesla: A vida e a loucura do gênio que iluminou o mundo,"A biografia do cientista mais aclamado e polêmico da história

Nikola Tesla é um ícone da cultura pop e geek, estampando pôsteres e camisetas. Porém, muito mais do que uma imagem icônica, o cientista é considerado o “avô” da informática e dá nome à mais valiosa e controversa corporação global. Suas invenções e descobertas domaram a “misteriosa” eletricidade e suas descobertas impactam nossas vidas até hoje. No entanto, Tesla passou a vida lutando contra um vasto rol de patologias mentais, entre elas o transtorno obsessivo-compulsivo e a bipolaridade.

Em",464 páginas,Português,Globo Livros,Marko Perko,Biografia,"https://m.media-amazon.com/images/I/51lLxIR5CIL._SX339_BO1,204,203,200_.jpg",978-6559870844,6559870847
8,Todo dia a mesma noite (série da Netflix): A História Não Contada da Boate Kiss,"Reportagem definitiva sobre o incêndio na Boate Kiss inspirou série da Netflix
Ao reconstituir de maneira sensível e inédita os acontecimentos da madrugada de 27 de janeiro de 2013, quando a cidade de Santa Maria perdeu de uma só vez 242 vidas, Daniela Arbex constrói uma obra que homenageia as vítimas e dá voz aos envolvidos em um dos episódios mais estarrecedores da história do país. Agora, dez anos após a tragédia, o livro dá origem a uma minissérie produzida pela Netflix e dirigida por Julia Rezende, com estreia marcada para o dia 25 de janeiro. No elenco, há nomes como Thelmo Fernandes",248 páginas,Português,Intrínseca,Daniela Arbex,Biografia,"https://m.media-amazon.com/images/I/412YXa9VdaL._SX324_BO1,204,203,200_.jpg",978-8551002858,8551002856
9,O diário de Anne Frank,"O Diário de Anne Frank teve a autenticidade confirmada por peritos. Estudos forenses da caligrafia de Anne e exame do papel do diário, da tinta e da cola comprovaram ser de material existente na época. A conclusão foi oficialmente apresentada pelo Instituto Estatal Holandês para Documentação da Guerra.",224 páginas,Português,Principis,Anne Frank,Biografia,"https://m.media-amazon.com/images/I/41+PZUZS7LL._SX346_BO1,204,203,200_.jpg",978-6550970406,6550970407
