,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,Par ou ímpar: Perguntas e respostas para quem quer (ou não) encontrar o amor da sua vida,"Existe amor à primeira vista? Será que estou me iludindo? Por que ainda estou solteiro? Estar solteira é o fim do mundo? Se você já fez alguma dessas perguntas, este livro é para você. Par ou ímpar é para todos aqueles que têm dúvidas sobre relacionamentos, não importa se estão solteiros ou namorando, em busca de um amor ou não. São 100 perguntas reunidas sobre tudo que envolve o universo amoroso, incluindo temas como bagagem emocional, escolhas, sexualidade e espiritualidade. Com a vasta experiência adquirida como consultor de relacionamentos e líder de jovens, o pastor Antônio Júnior responde a tudo que você sempre quis saber sobre namoro e ajuda o leitor a acalmar o coração e confiar em Deus.",224 páginas,Português,Thomas Nelson Brasil; 1ª edição (25 abril 2017),Antônio Júnior,Romance,https://m.media-amazon.com/images/I/71Cx94p+vKL._SY385_.jpg,978-8578604158,8578604156,https://www.amazon.com.br/Par-ou-%C3%8Dmpar-Antonio-Junior/dp/8578604156/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
1,A troca,"Autora do best-seller Teto para dois volta com um novo livro divertido e comovente sobre recomeços
Leena Cotton tem 29 anos e sente que já não é mais a mesma. Eileen Cotton tem 79 e está em busca de um novo amor. Tudo de que neta e avó precisam no momento é pôr em prática uma mudança radical. Então, para colocar suas respectivas vidas de volta nos trilhos, as duas têm uma ideia inusitada: trocar de lugar uma com a outra.",352 páginas,Português,Intrínseca; 1ª edição (6 novembro 2020),Beth O’Leary,Romance,https://m.media-amazon.com/images/I/81-MCHCcBoL._SY385_.jpg,978-6555600070,6555600071,https://www.amazon.com.br/Troca-Beth-OLeary/dp/6555600071/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
2,Teto para dois (Livro que deu origem à série da Paramount),"Best-seller de Beth O’Leary ganha série na Paramount+ e tem estreia aguardada para as próximas semanas no Brasil
Depois de três meses do fim do seu relacionamento, Tiffy finalmente sai do apartamento do ex-namorado. Agora ela precisa encontrar o quanto antes um lugar barato onde morar. Contrariando os amigos, ela topa um acordo bastante inusitado.
Enrolado com questões financeiras, Leon tem uma ideia pouco convencional para conseguir dinheiro rápido: anunciar seu apartamento com uma cama só, onde fica apenas no período da manhã, nos dias úteis, já que passa os fins de semana com a namorada e trabalha como enfermeiro no turno da noite.",400 páginas,Português,Intrínseca; 1ª edição (9 setembro 2019),Beth O’Leary,Romance,https://m.media-amazon.com/images/I/61Q8bQdhklL._SY385_.jpg,978-8551005415,8551005413,https://www.amazon.com.br/Teto-Para-Dois-Beth-Oleary/dp/8551005413/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
3,Luzes do Norte,"""
Luzes do Norte é o livro de estreia de Giulianna Domingues, uma aventura intensa e cheia de reviravoltas, com uma protagonista que se recusa a jogar pelas regras dos outros. Entre ursos assustadores, florestas nevadas, mistérios e intrigas, Dimitria tem uma única missão: proteger Aurora van Vintermer. Custe o que custar.
 ",280 páginas,Português,Galera; 3ª edição (18 abril 2022),Giulianna Domingues,Romance,https://m.media-amazon.com/images/I/91Q5HHvu8iL._SY385_.jpg,978-6559810833,6559810836,https://www.amazon.com.br/Luzes-do-Norte-Giulianna-Domingues/dp/6559810836/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
4,Leitura de verão,"Em Leitura de verão, uma escritora de romances que não acredita mais no amor e um escritor literário sufocado pela rotina se envolvem em um desafio que pode subverter tudo o que eles sempre pensaram sobre o que é ser feliz.
 Augustus Everett é um aclamado autor de ficção literária. January Andrews escreve romances best-seller. Enquanto ela cria seus “felizes para sempre”, ele mata todos os seus personagens.",364 páginas,Português,Verus; 3ª edição (6 junho 2022),Emily Henry,Romance,https://m.media-amazon.com/images/I/71KnjPmQnkL._SY385_.jpg,978-6559240630,6559240630,https://www.amazon.com.br/Leitura-ver%C3%A3o-Emily-Henry/dp/6559240630/ref=d_wsixn_inc_v1_sccl_1_3/137-7733330-2035121?content-id=amzn1.sym.6aae30b1-f28d-491f-8557-da944231f03f&pd_rd_i=6559240630&psc=1
5,Corte de névoa e fúria (Vol. 2 Corte de espinhos e rosas),"Por amor ela enganou a morte. Por liberdade, ela se tornará uma arma. Corte de névoa e fúria é o esperado segundo volume da saga iniciada em Corte de espinhos e rosas. Sarah J. Maas é uma verdadeira estrela: após apenas uma semana de vendas, a série Corte de Espinhos e Rosas estreou em segundo lugar na lista do New York Times. Ela também é autora da série Trono de Vidro, que já teve mais de 1 milhão de exemplares vendidos.   Neste livro, seguimos a saga de Feyre Archeron, que morreu Sob a Montanha. Nas garras de Amarantha, a jovem humana que ansiava por amor e proteção deixou de existir. Das cinzas de seu velho eu, Feyre Quebradora da Maldição foi Feita - com poderes de sete Grão-Feéricos... e uma vontade tão férrea quanto o metal temido por eles. Seu coração no entanto, permanece humano, vulnerável. Incapaz de esquecer o que sofreu para libertar o povo de Tamlin... e o pacto firmado com Rhysand, senhor da Corte Noturna. Mas mesmo assim, Feyre se esforça para reconstruir o lar que criou na Corte Primaveril. Então por que é ao lado de Rhys que ela se sente mais plena? Peça-chave num jogo que desconhece. Feyre deve aprender rapidamente do que á capaz. E curar sua alma partida. Pois um antigo mal, muito pior que Amarantha, se agita no horizonte... um que ameaça não apenas os feéricos, mas o mundo humano e a muralha também. Enquanto navega por uma teia de intrigas políticas, paixões e poder, sufocada por Tamlin, Feyre precisa decidir o que deseja: amor ou liberdade? Corte de névoa e fúria apresenta uma história de emoção absoluta. Feyre aprende como se tornar uma verdadeira guerreira usando as ferramentas que possui. Um novo elenco de personagens dá vida ao reino. Cassian e Azriel - os irmãos de armas de Rhys, o sempre poderoso e charmoso Morrigan e o mortal, sarcástico, Amren. Sarah J. Maas desenvolve a narrativa com tramas tão hábeis que nenhum leitor pode começar este livro sem tentar terminá-lo o mais rápido possível. É cativante, romântico, cheio de ação e um estudo intenso dos reinos em guerra. Um verdadeiro clássico no gênero fantasia.",658 páginas,Português,Galera; 35ª edição (2 agosto 2016),Sarah J. Maas,Romance,https://m.media-amazon.com/images/I/81PGQZ8qBlL._SY385_.jpg,978-8501076601,8501076600,https://www.amazon.com.br/Corte-n%C3%A9voa-f%C3%BAria-espinhos-rosas/dp/8501076600/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-3
6,O peso da glória,"Nos nove sermões que compõem uma de suas obras mais clássicas, O peso da glória, C.S. Lewis demonstra porque é um dos autores cristãos mais influentes da História. Ele é capaz de tratar os mais variados temas, como pecado e identidade cristã de modo brilhante, trazendo simplicidade e clareza a assuntos complexos, instigando tanto nossa alma quanto nosso intelecto.  
Mais um livro da coleção C.S. Lewis, com edição especial, capa dura e nova tradução, O peso da glória é uma leitura obrigatória, pois traz aos leitores contemporâneos as mesmas palavras de inspiração, orientação e apologia da fé cristã que levaram alento a milhares de ouvintes em um tempo recheado de dúvidas. ",192 páginas,Português,Thomas Nelson Brasil; 1ª edição (18 setembro 2017),C. S. Lewis,Romance,https://m.media-amazon.com/images/I/A1nUTy081YL._SY385_.jpg,978-8578600655,8578600657,https://www.amazon.com.br/Peso-Gl%C3%B3ria-C-S-Lewis/dp/8578600657/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=1-13
7,O labirinto de fogo: (Série As provações de Apolo): 3,"No terceiro livro da série, o deus Apolo vai ser posto à prova ao enfrentar uma perigosa armadilha.
Apolo, o deus mais glorioso e belo que já existiu, causou a ira de Zeus e foi expulso do Olimpo. Ele foi parar na terra, mais precisamente em uma caçamba de lixo em Nova York. Agora, ele é Lester Papadopoulos, um mortal desajeitado e sem poderes divinos. Para reconquistar seu lugar ao lado do todo-poderoso, Apolo terá que libertar cinco oráculos desaparecidos.",368 páginas,Português,Intrínseca; 1ª edição (10 maio 2018),Rick Riordan,Romance,https://m.media-amazon.com/images/I/91TNtm1nNHL._SY385_.jpg,978-8551003312,8551003313,https://www.amazon.com.br/Labirinto-Fogo-Prova%C3%A7%C3%B5es-Apolo-prova%C3%A7%C3%B5es/dp/8551003313/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-15
8,Malibu renasce,"Os quatro filhos de Mick Riva são conhecidos e admirados por toda Malibu. Mas não só pelo pai famoso. A cada ano os quatro dão uma festa épica para comemorar o fim do verão ― e a de 1983 promete. Ela dura apenas algumas horas, mas é suficiente para mudar a vida deles para sempre.
Malibu, agosto de 1983. É o dia da festa anual de Nina Riva, e todos anseiam pelo cair da noite e por toda a emoção que ela promete trazer.
A pessoa menos interessada no evento é Nina, que nunca gostou de ser o centro das atenções e acabou de ter o fim do relacionamento com um tenista profissional totalmente explorado pela mídia. Talvez Hud também esteja tenso, pois precisa admitir para o irmão algo que tem mantido em segredo por tempo demais, e parece que esse é o momento. Jay está contando os minutos, pois não vê a hora de encontrar uma menina que não sai de sua cabeça. E Kit também tem seus segredos ― e convidado ― especiais.
Até a meia-noite, a festa estará completamente fora de controle. O álcool vai fluir, a música vai tocar e segredos acumulados ao longo de gerações vão voltar para assombrar todos ― até as primeiras horas do dia, quando a primeira faísca surgir e a mansão Riva for totalmente consumida pelas chamas.",360 páginas,Português,Paralela; 1ª edição (14 junho 2021),Taylor Jenkins Reid,Romance,https://m.media-amazon.com/images/I/81FICwL24GL._SY385_.jpg,978-8584392162,8584392165,https://www.amazon.com.br/Malibu-renasce-Taylor-Jenkins-Reid/dp/8584392165/ref=d_wsixn_inc_v1_sccl_1_4/137-7733330-2035121?content-id=amzn1.sym.6aae30b1-f28d-491f-8557-da944231f03f&pd_rd_i=8584392165&psc=1
9,A hipótese do amor,"Quando um namoro de mentira entre cientistas encontra a irresistível força da atração, todas as teorias cuidadosamente calculadas sobre o amor são postas à prova.
Com personagens cativantes e diálogos afiados, este livro engraçado, sexy e inteligente se tornou uma das grandes sensações do TikTok.
Olive Smith, aluna do doutorado em Biologia da Universidade Stanford, acredita na ciência – não em algo incontrolável como o amor.",336 páginas,Português,Editora Arqueiro; 1ª edição (5 julho 2022),Ali Hazelwood,Romance,https://m.media-amazon.com/images/I/81LTEfXYgcL._SY385_.jpg,978-6555653304,6555653302,https://www.amazon.com.br/hip%C3%B3tese-amor-Sucesso-TikTok/dp/6555653302/ref=monarch_sidesheet
